iter	Passed	Remaining
0	154	154291
1	156	77874
2	158	52641
3	159	39676
4	160	31904
5	161	26752
6	162	23058
7	163	20294
8	164	18150
9	165	16430
10	167	15027
11	168	13903
12	170	12940
13	172	12126
14	173	11383
15	174	10722
16	175	10134
17	176	9611
18	177	9147
19	178	8729
20	179	8347
21	180	8002
22	181	7690
23	182	7407
24	183	7160
25	185	6945
26	186	6717
27	187	6505
28	188	6300
29	188	6108
30	189	5927
31	190	5758
32	191	5599
33	191	5450
34	192	5310
35	193	5177
36	194	5059
37	195	4941
38	196	4830
39	197	4747
40	199	4660
41	200	4567
42	201	4482
43	202	4392
44	202	4306
45	203	4223
46	204	4145
47	205	4069
48	205	3997
49	206	3927
50	207	3861
51	208	3796
52	209	3737
53	211	3707
54	212	3658
55	214	3618
56	215	3568
57	216	3518
58	217	3467
59	218	3417
60	218	3369
61	219	3323
62	220	3276
63	220	3231
64	221	3188
65	222	3148
66	223	3109
67	224	3072
68	225	3041
69	226	3010
70	228	2984
71	229	2952
72	230	2921
73	230	2888
74	231	2855
75	232	2823
76	232	2792
77	233	2761
78	234	2731
79	235	2703
80	235	2674
81	236	2648
82	237	2618
83	237	2592
84	238	2566
85	239	2546
86	241	2530
87	242	2515
88	243	2495
89	244	2473
90	245	2451
91	246	2431
92	247	2409
93	247	2387
94	248	2366
95	249	2346
96	250	2327
97	251	2310
98	251	2291
99	252	2272
100	253	2254
101	254	2240
102	256	2229
103	257	2219
104	258	2205
105	259	2188
106	260	2172
107	261	2156
108	261	2139
109	262	2123
110	263	2106
111	263	2090
112	264	2074
113	265	2062
114	266	2048
115	267	2035
116	267	2020
117	268	2009
118	271	2009
119	273	2002
120	274	1991
121	274	1978
122	275	1967
123	276	1956
124	277	1944
125	278	1934
126	279	1921
127	280	1910
128	281	1898
129	281	1886
130	282	1874
131	283	1864
132	284	1854
133	285	1847
134	287	1839
135	288	1830
136	289	1820
137	289	1810
138	290	1799
139	291	1789
140	291	1778
141	292	1768
142	293	1758
143	294	1749
144	294	1739
145	295	1729
146	296	1719
147	296	1709
148	297	1699
149	298	1691
150	299	1686
151	301	1679
152	302	1673
153	303	1664
154	303	1656
155	304	1648
156	305	1640
157	306	1632
158	307	1624
159	307	1615
160	308	1606
161	308	1597
162	309	1589
163	310	1581
164	310	1573
165	311	1566
166	312	1559
167	313	1553
168	315	1549
169	316	1545
170	317	1539
171	318	1533
172	319	1526
173	320	1520
174	320	1512
175	321	1505
176	322	1498
177	322	1490
178	323	1484
179	324	1477
180	324	1470
181	325	1463
182	326	1456
183	326	1449
184	327	1443
185	328	1438
186	329	1434
187	331	1432
188	332	1427
189	333	1422
190	334	1417
191	335	1411
192	336	1405
193	337	1400
194	338	1395
195	338	1389
196	339	1383
197	340	1377
198	340	1371
199	341	1365
200	342	1360
201	343	1356
202	345	1354
203	347	1355
204	348	1351
205	349	1346
206	350	1341
207	351	1336
208	351	1331
209	352	1327
210	353	1322
211	354	1317
212	355	1312
213	355	1307
214	356	1303
215	358	1299
216	359	1297
217	361	1298
218	363	1295
219	364	1291
220	365	1287
221	366	1282
222	366	1278
223	367	1274
224	368	1270
225	369	1265
226	370	1260
227	370	1255
228	372	1253
229	374	1252
230	376	1252
231	377	1248
232	378	1244
233	379	1240
234	379	1236
235	380	1232
236	381	1228
237	382	1224
238	383	1220
239	384	1216
240	385	1212
241	386	1210
242	388	1209
243	390	1209
244	391	1206
245	392	1201
246	392	1197
247	393	1193
248	394	1189
249	395	1185
250	396	1183
251	397	1180
252	398	1176
253	399	1172
254	401	1171
255	402	1170
256	404	1169
257	405	1167
258	406	1164
259	408	1161
260	408	1157
261	409	1153
262	410	1150
263	411	1147
264	412	1143
265	413	1140
266	414	1137
